Date,Open,High,Low,Close,Volume USD
2019-12-06 06-PM,7487.69,7527.81,7392.86,7455.14,6552870.3
2019-12-06 05-PM,7408.28,7609.5,7398,7487.69,11184981.48
2019-12-06 04-PM,7373.1,7422.27,7373.09,7408.28,2776296.45
2019-12-06 03-PM,7379.99,7435.32,7353.06,7373.1,4922295.07
2019-12-06 02-PM,7352.77,7397.44,7350.01,7379.99,1669902.9
2019-12-06 01-PM,7374.2,7381.02,7350,7352.77,1263179.37
2019-12-06 12-PM,7347.5,7390,7345,7374.2,1089077.47
2019-12-06 11-AM,7336.6,7360.49,7305.75,7347.5,1332326.26
2019-12-06 10-AM,7391.46,7396.16,7333.62,7336.6,563105.12
2019-12-06 09-AM,7354.95,7449.99,7317.75,7391.46,3629532.16
2019-12-06 08-AM,7369.56,7378.56,7335,7354.95,1026752.71
2019-12-06 07-AM,7362.17,7386.44,7350.92,7369.56,1405178.85
2019-12-06 06-AM,7399.16,7399.16,7336.9,7362.17,1048211.48
2019-12-06 05-AM,7403.2,7412,7382.79,7399.16,1068884.55
2019-12-06 04-AM,7373.02,7407.54,7355,7403.2,1308290.29
